Nr.;Vorname;Nachname;Geburtsdatum
2081;Wernhard;Helfrich;02.01.1974
2082;Roberto;Speiser;02.12.1985
2083;Heimtraud;Mollenhauer;08.01.1920
2084;Frohmund;Schulze;03.11.1940
2085;Enrico;Romeike;26.09.1931
2086;Laura;Tietjen;16.06.2006
2087;Margitta;Lehrmann;24.06.1986
2088;Heyko;Reimers;31.07.1994
2089;Gundhard;Griesinger;04.06.2000
2090;Eric;Peuker;17.05.2000
2091;Edmar;Vesper;02.11.1955
2092;Hedy;Traut;27.02.1987
2093;Luis;Pohle;26.07.1980
2094;Edeltraud;Krell;16.12.2013
2095;Cathleen;Ostmann;27.10.1960
2096;Valentin;Hölzle;02.09.2017
2097;Mats;Gillessen;03.04.1950
2098;Annika;Epping;04.02.2023
2099;Arlinde;Watson;08.11.1908
2100;Erdwin;Zeuner;04.05.1932
2101;Mirko;Grimmer;22.05.1940
2102;Annekäthe;Haas;21.09.1911
2103;Ina;Kammler;01.04.1993
2104;Volker;White;15.06.2018
2105;Martin;Placzek;08.04.1902
2106;Edmar;Bamberger;11.05.1945
2107;Bodmar;Armbrust;18.03.1904
2108;Ilsebärbel;Bublitz;08.11.1977
2109;Wieland;Wirsching;14.10.2006
2110;Maike;Wicht;31.05.1993
2111;Georg;Hartung;12.03.1948
2112;Louise;Stäbler;03.01.2015
2113;Konrad;Rühlemann;23.10.1964
2114;Waldburgis;Straßburg;16.05.2005
2115;Timmo;Haase;02.09.1981
2116;Wigbert;Schedlbauer;28.10.1928
2117;Raimar;Akkermann;13.05.1939
2118;Eunike;Siebert;11.06.1942
2119;Roger;Anger;30.04.1996
2120;Tommy;Petrich;01.11.1953
2121;Winfrid;Hintz;08.02.1915
2122;Trutz;Feldkamp;24.05.1985
2123;Matthias;Dölle;30.09.1980
2124;Zacharias;Pratt;10.05.2004
2125;Sunhild;Windmüller;05.12.1978
2126;Arkadius;Baatz;14.07.1969
2127;Verona;Strunk;19.02.1945
2128;Tillmann;Leske;26.07.1986
2129;Doritta;Ober;07.11.1969
2130;Lilibeth;Standke;30.06.1996
2131;Ingelore;Zipf;28.09.1992
2132;Mechtild;Stegmann;13.12.2008
2133;Sylvius;Demmer;19.05.1953
2134;Artur;Hödl;18.12.1998
2135;Warnfried;Röper;23.07.2013
2136;Anni;Joachim;17.12.1966
2137;Wolfhermann;Potratz;17.01.1970
2138;Romana;Denzler;21.10.1931
2139;Gabriela;Klapper;05.09.2004
2140;Eduard;Unverzagt;16.03.2008
2141;Ingeborg;Perez;20.04.2005
2142;Trudbert;Drechsler;19.08.1904
2143;Gitti;Goldberg;13.08.2024
2144;Timo;Ballard;02.02.1921
2145;Barbara;Steffens;27.11.1974
2146;Kurt;Lentz;28.01.1914
2147;Rosina;Schu;14.03.1958
2148;Engelbert;Stelzig;23.09.1941
2149;Klausdieter;Winkens;23.02.1905
2150;Christhardt;Jovanovic;05.09.1956
2151;Carin;Barthold;03.11.1929
2152;Christiana;Dold;28.09.1954
2153;Gerhilde;Hildenbrand;12.12.1914
2154;Marten;Silva;16.08.2004
2155;Renatus;Tittmann;12.08.2018
2156;Friedhild;Breuninger;14.10.1955
2157;Annemarie;Temme;03.10.2004
2158;Hanskarl;Ney;02.12.1948
2159;Jannis;Egbers;29.05.2009
2160;Waldfried;Gödde;09.06.2025
2161;Theophilus;Soto;10.12.1952
2162;Frieda;Wald;11.08.1952
2163;Ella;Hegewald;29.05.2022
2164;Gerdfried;Haßler;13.09.1931
2165;Ottomar;Oelze;19.04.1908
2166;Anneruth;Abendroth;20.01.1947
2167;Agatha;Friedrichs;21.05.1905
2168;Reintraud;Stuck;26.09.1947
2169;Kareen;Kreitz;05.04.1966
2170;Wiltrud;Lienert;13.02.2013
2171;Engelbert;Weihs;22.12.2021
2172;Nikodem;Küster;08.11.2001
2173;Stephanus;Liebel;27.02.1939
2174;Anneheide;Blome;02.01.1906
2175;Barthold;Lynch;19.06.1910
2176;Joschua;Geng;19.02.1936
2177;Erlfried;Kleiner;25.01.1942
2178;Friedrun;Blaß;25.08.1971
2179;Hansjakob;Kofler;22.04.2004
2180;Traude;Krahn;12.09.1977
2181;Helmfried;Anlauf;07.07.1945
2182;Hannelene;Schüller;18.12.1939
2183;Myrjam;Jakobi;13.02.1965
2184;Elmar;Meder;02.02.1915
2185;Alheidis;Weigert;17.09.1933
2186;Bertha;Helten;16.10.1971
2187;Hanfried;Schmalfuß;29.11.1938
2188;Tim;Leupold;02.08.1939
2189;Friedmut;Sticht;21.01.2015
2190;Finchen;Weber;10.06.2021
2191;Irmfriede;Jäckel;18.03.1919
2192;Ullrich;Wied;05.01.1992
2193;Julian;Dick;05.06.1986
2194;Aline;Kaffenberger;27.02.1902
2195;Maurus;Cakmak;09.10.1918
2196;Hans;Nitzschke;02.02.1997
2197;Annkathrin;Kieninger;10.08.1943
2198;Dietwulf;Härtl;05.01.1992
2199;Reingard;Bey;20.02.2020
2200;Ingbert;Grether;02.03.1935
2201;Michel;Grieger;05.08.2002
2202;Irmin;Schwerin;23.05.1977
2203;Volkhard;Haschke;31.07.2013
2204;Dietmund;Mehr;10.12.1954
2205;Jolantha;Kelch;16.09.2010
2206;Jolina;Feyerabend;04.05.2005
2207;Luc;Buchmüller;20.06.1995
2208;Mads;Heitzmann;24.07.1996
2209;Ferdinandus;Kamp;12.03.1994
2210;Ambros;Vieten;01.09.1928
2211;Gottholde;Wand;24.03.2010
2212;Ulfried;Künne;19.10.1909
2213;Arnhild;Geiler;13.04.1906
2214;Karlernst;Oertel;22.05.1960
2215;Giselbert;Bunte;02.08.1940
2216;Stefan;Daub;06.07.1949
2217;Eckert;Bernhard;10.02.1914
2218;Urda;Daut;04.08.1991
2219;Britta;Bruchmann;12.12.1909
2220;Dietwolf;Nold;31.12.1943
2221;Lotti;Dreesen;04.02.2006
2222;Sibylla;Heßling;18.09.1923
2223;Friedmut;Jülich;11.11.1937
2224;Eduard;Reichelt;19.12.1981
2225;Otfried;Widmer;10.05.1916
2226;Kasimir;Wack;16.10.1938
2227;Augustin;Sack;18.04.1959
2228;Marc;Skibbe;28.12.1931
2229;Jean;Neher;17.07.1944
2230;Oda;Schön;08.12.2011
2231;Burglind;Gierke;23.11.1944
2232;Friedhardt;Reid;31.07.2002
2233;Eckehard;Kiechle;12.01.2013
2234;Waldtraud;Feld;03.08.1911
2235;Gila;Hufnagl;21.02.1960
2236;Marlis;Reuber;19.08.1996
2237;Sinah;Flechsig;29.03.1991
2238;Karena;Engl;25.12.2003
2239;Marcel;Elsen;01.04.1973
2240;Barthold;Martensen;21.06.1985
2241;Bianka;Herre;16.02.2001
2242;Ingbert;Friedel;26.09.1942
2243;Gerwin;Kleinfeld;30.09.1916
2244;Lea;Reißmann;16.05.1990
2245;Elfrieda;Sölter;25.11.1965
2246;Lindmar;Hit;11.12.1917
2247;Annelies;Akyol;22.07.1996
2248;Kay;Mildenberger;08.07.1931
2249;Marhild;Gerling;08.11.1994
2250;Monique;Dittberner;19.02.2018
2251;Jona;Klinner;17.10.1987
2252;Ismene;Remy;15.01.1983
2253;Gretlies;Herber;24.01.1924
2254;Hetty;Petter;26.04.1929
2255;Lynn;Friese;06.06.1920
2256;Edgar;Haan;20.05.1993
2257;Erdmann;Freytag;05.05.1971
2258;Kristina;Höhl;19.02.1928
2259;Ilsegret;Watermann;13.04.1959
2260;Ingomar;Kupfer;01.01.1988
2261;Engelbert;Rosenzweig;23.11.2002
2262;Severin;Reinartz;23.05.2011
2263;Waldburga;Dienst;16.10.1916
2264;Erich;Schieck;06.06.1943
2265;Siegberta;Ohlsen;17.03.1908
2266;Sigfrid;Rey;13.07.1970
2267;Fabio;Timmermann;27.09.1948
2268;Gerhilde;Stürmer;15.06.1932
2269;Emily;Waldherr;14.03.1942
2270;Kordelia;Emmel;18.09.1908
2271;Lara;Look;02.02.2015
2272;Grit;Erkens;02.12.1984
2273;Aloysius;Sieker;26.10.1990
2274;Ali;Pohle;31.01.1918
2275;Oscar;Garske;19.11.1963
2276;Adelheide;Zaiser;25.04.1967
2277;Isbert;Guse;12.08.1916
2278;Berngard;Oepen;28.07.1941
2279;Bodo;Lamberty;28.03.1992
2280;Lilly;Kriener;27.04.1902
2281;Linhilde;Halbach;20.08.1910
2282;Uschi;Verhoeven;24.05.1909
2283;Berna;Breiter;27.12.1916
2284;Corinna;Bahr;31.01.1985
2285;Rimbert;Wehnert;19.11.1983
2286;Nicolas;Mertin;07.02.1930
2287;Joelle;Helmer;27.12.1986
2288;Eckehardt;Baumgarten;25.06.2003
2289;Christfried;Dralle;10.07.1911
2290;Felicitas;Hombach;18.12.2020
2291;Marten;Heier;23.07.1987
2292;Clementine;Rascher;28.12.1997
2293;Nicholas;Harris;08.02.1940
2294;Toralf;Ertl;22.11.1965
2295;Otthein;Seibert;13.01.1975
2296;Ruppert;Bleicher;11.08.1971
2297;Sergius;Wetzel;13.09.2005
2298;Ria;Westerhoff;30.08.2000
2299;Edeltraut;Homuth;23.09.1905
2300;Friedrun;Künzel;15.09.1962
2301;Elfgard;Schade;27.04.1924
2302;Wolfhart;Rubel;05.04.1986
2303;Karina;Teichmann;02.08.1999
2304;Ludwig;Pavlovic;05.01.1962
2305;Burghart;Maassen;02.11.1985
2306;Lennart;Schanze;25.12.1995
2307;Lieselore;Zach;07.08.2018
2308;Zita;Bodenmüller;25.10.1958
2309;Patrizia;Scharpf;13.05.1962
2310;Remigius;Aicher;27.08.1992
2311;Lotta;Bader;29.06.1967
2312;Madleine;Hinze;22.07.1911
2313;Ilsemarie;Vinke;07.01.1938
2314;Miguel;Fey;04.08.1917
2315;Marlitt;Bosselmann;25.01.1918
2316;Nortrud;Eckelmann;23.03.1903
2317;Guido;Thome;26.09.1924
2318;Frithjof;Schubert;09.06.2020
2319;Falkhard;Knops;19.04.1984
2320;Linn;Cross;21.05.1987
2321;Ascan;Gros;17.10.1930
2322;Rainhard;Knopp;12.10.1957
2323;Harribert;Littmann;13.10.1970
2324;Niklas;Sens;27.11.2001
2325;Friederike;Hellberg;06.08.1915
2326;Walburga;Geitner;14.05.1924
2327;Otthold;Witzmann;27.02.1906
2328;Gritt;Weerts;19.10.1923
2329;Ambrosius;Fink;06.02.1988
2330;Kyra;Willenborg;04.03.1967
2331;Achim;Hauber;03.11.1902
2332;Svea;Falke;28.05.1993
2333;Ferhart;Hertrampf;27.05.2011
2334;Berni;Lorbeer;09.02.1944
2335;Celina;Paulmann;03.08.1955
2336;Anneros;Dießner;03.10.1945
2337;Malte;Drexl;28.06.2011
2338;Gottholde;Leipold;15.05.1910
2339;John;Schomann;03.01.2019
2340;Gila;Norden;15.12.1949
2341;Burghilde;Bölke;03.02.1931
2342;Lewin;Stenz;08.04.1936
2343;Annette;Brauckmann;21.03.1988
2344;Friedlind;Mittler;29.04.1996
2345;Gundel;Liske;31.03.2000
2346;Uranius;Dubbert;24.03.1908
2347;Falkhard;Hertling;29.01.1963
2348;Arnhild;Häussler;10.12.1982
2349;Steffie;Steiner;17.09.2024
2350;Friedhelm;Dannenberg;30.12.1994
2351;Giselher;Kennedy;17.04.1952
2352;Hubertus;Reed;08.03.1962
2353;Yannick;Gayer;26.06.1938
2354;Friedhild;Maisel;09.02.1945
2355;Mania;Kolodziej;04.11.1969
2356;Heinfried;Kottmann;17.06.1963
2357;Wilderich;Eberspächer;12.08.1972
2358;Roland;Jennings;29.01.1950
2359;Babsi;Mendler;01.08.1991
2360;Noa;Wiemers;17.08.1939
2361;Emelie;Hohenstein;04.06.1952
2362;Heidegret;Neis;05.05.1990
2363;Tanja;Wilkens;26.07.1924
2364;Bernhardt;Boschert;05.02.2020
2365;Gernulf;Hauth;10.05.2008
2366;Evamaria;Hansel;22.05.1983
2367;Anke;Neukirchen;30.06.1905
2368;Gabriel;Till;19.10.1910
2369;Fritz;Speier;26.06.1914
2370;Sigfrid;Schwind;29.07.1928
2371;Nordrun;Glöckner;26.07.1998
2372;Ella;Richards;10.08.2012
2373;Ronald;Peltzer;25.05.1904
2374;Dethard;Rieber;28.04.1950
2375;Monika;Polenz;14.09.2021
2376;Claus;Lein;26.09.1982
2377;Otwin;Brucker;16.01.1960
2378;Gerdt;Löhnert;11.01.1944
2379;Gottfried;Gonsior;13.08.2018
2380;Helgrid;Kaus;08.11.1978
2381;Wiltrude;Hickmann;21.08.1941
2382;Suse;Niklaus;05.09.1929
2383;Reimo;Ortner;08.01.1992
2384;Irmgarda;Hädicke;24.06.1903
2385;Romana;Heeren;09.04.2007
2386;Anika;Fritsche;16.11.1932
2387;Arnfried;Bialas;13.10.1968
2388;Dietrich;Seubert;10.07.1972
2389;Roberto;Baranowski;30.01.1960
2390;Friedoline;Ast;03.12.2001
2391;Thassilo;Gronwald;07.12.1915
2392;Laurentius;Bölling;10.12.1973
2393;Hartger;Weingarten;20.05.1971
2394;Emmaliese;Zimmerman;11.10.1915
2395;Wendelgard;Zinke;14.06.1978
2396;Josua;Raabe;09.07.1946
2397;Käte;Hülsmann;26.11.2011
2398;Robby;Lenger;07.01.1985
2399;Ottmar;Vogeler;29.06.2006
2400;Irmtraud;Hirte;19.08.1912
2401;Wernher;Pelster;12.11.1923
2402;Heribert;Liebsch;14.08.1903
2403;Rasso;Ranke;05.12.1962
2404;Willhart;Casey;09.05.1956
2405;Gisela;Theilen;23.09.1980
2406;Sieghardt;Frings;08.02.1903
2407;Lerke;Sieverding;21.03.1909
2408;Edelfried;Dill;17.04.2003
2409;Kriemhilde;Henle;19.09.1938
2410;Beate;Brüning;25.09.1916
2411;Volkart;Kempe;15.06.1924
2412;Rahel;Brückl;28.09.1907
2413;Karlfried;Ehlers;03.10.2000
2414;Ernstfried;Krone;04.05.1971
2415;Treuhart;Filter;28.04.1906
2416;Carla;Mues;07.09.1942
2417;Oswin;Emmert;05.06.1977
2418;Lia;Gehrlein;19.05.1934
2419;Paulina;Leuschner;10.09.1908
2420;Frowin;Herklotz;27.07.1992
2421;Reinburga;Stille;23.10.1973
2422;Maximiliane;Haider;01.03.1972
2423;Marlis;Bald;29.11.1957
2424;Thilo;Winterhalter;14.08.2010
2425;Niko;Feldhaus;11.06.1944
2426;Therese;Faulhaber;09.09.1943
2427;Wolfried;Deubel;01.08.2021
2428;Maik;Bosse;24.06.1915
2429;Sighard;Schaper;27.10.1956
2430;Hilmar;Mahlke;15.04.1987
2431;Cirsten;Freier;10.02.1903
2432;Diethard;Wessely;07.01.2011
2433;Marielene;Waldow;22.02.1967
2434;Jolantha;Hilt;20.11.1936
2435;Dieter;Wolff;31.08.1935
2436;Börries;Tölke;03.12.1957
2437;Erfried;Filipovic;25.10.1979
2438;Isgard;Feld;09.11.1963
2439;Wedigo;Kremers;08.08.2000
2440;Rainmund;Leyh;29.08.1948
2441;Degenhard;Pistor;16.01.2023
2442;Helmrich;Schamberger;09.09.2011
2443;Michl;Kolter;08.01.2021
2444;Frowin;Hasler;05.09.1979
2445;Hardo;Schirm;17.08.1999
2446;Jupp;Winterholler;20.10.1937
2447;Verona;Zobel;24.11.2004
2448;Nicolas;Pauer;09.02.2008
2449;Siegert;Seltmann;27.07.1956
2450;Willrich;Steckel;22.02.1920
2451;Ottheinrich;Ucar;23.09.2005
2452;Marieliese;Frost;24.08.2011
2453;Rauthgundis;Reinold;18.08.1995
2454;Bringfried;Lohr;24.06.1995
2455;Gertwin;Kammann;12.07.1971
2456;Otto;Kinner;22.08.1930
2457;Hansotto;Seebach;10.04.2014
2458;Heinolf;Bernard;28.08.1910
2459;Waltraut;Rach;26.11.1951
2460;Volkard;Feldt;07.02.1985
2461;Annaliese;Meuser;17.03.1965
2462;Philine;Huß;15.06.1977
2463;Aline;Strickland;05.02.1966
2464;Florentius;Isik;10.05.2014
2465;Edelinde;Dippel;23.05.1921
2466;Paulus;Schrewe;27.06.1966
2467;Frowine;Engmann;17.09.1906
2468;Mathias;Freier;02.11.1902
2469;Kimberley;Hagemann;28.08.2021
2470;Ottmar;Schaffert;02.06.1984
2471;Janfried;Rattay;14.05.1988
2472;Anje;Clayton;17.05.1984
2473;Siegert;Jager;09.04.1979
2474;Dorina;Bührer;06.08.1976
2475;Bianka;Aue;29.07.1919
2476;Ulwin;Reil;31.03.1938
2477;Miriam;Eisenbach;07.12.2016
2478;Jessika;Winterhart;16.08.1961
2479;Oskar;Grözinger;02.03.1987
2480;Jonah;Rademacher;07.12.1970
2481;Axel;Veigel;08.06.1947
2482;Crescentia;Mast;05.05.2025
2483;Nathalie;Knott;26.09.2021
2484;Kurd;Lock;01.07.2024
2485;Immanuel;Wörner;24.07.1917
2486;Marbod;Krapp;12.08.1936
2487;Marieliese;Drescher;12.06.1902
2488;Gerdfried;Struwe;30.12.1974
2489;Irena;Husemann;26.03.1998
2490;Reinhardt;Ferdinand;07.07.1953
2491;Eyck;Stüwe;02.10.2021
2492;Giesela;Hanne;23.12.1908
2493;Roselies;Heyne;20.09.1954
2494;Barbara;Hesse;03.10.1995
2495;Sabine;Sauerbrey;19.09.1953
2496;Meike;Aicher;05.09.1966
2497;Ute;Spieß;15.09.1955
2498;Edda;Glover;27.10.2001
2499;Theohold;Winckler;20.02.1913
2500;Leif;Timmermann;23.09.1907
2501;Adolfa;Adolph;08.02.1932
2502;Einhard;Boehm;25.11.1944
2503;Quirin;Vogeler;30.09.1908
2504;Nadin;Reinecke;13.04.1928
2505;Elfriede;Rosenberger;14.11.1960
2506;Haralda;Tomczak;21.11.1927
2507;Mirko;Eichenauer;12.10.1957
2508;Marcellus;Landwehr;02.02.1994
2509;Johannette;Homm;15.04.2021
2510;Treuhard;Weiden;15.09.1956
2511;Malve;Pongratz;26.01.1948
2512;Lindemarie;Achterberg;13.12.2012
2513;Karli;Knecht;07.07.2001
2514;Annette;Keilbach;18.06.2002
2515;Heliane;Eurich;23.04.2004
2516;Fabiane;Haimerl;20.01.1963
2517;Heidetraud;Daum;07.07.1995
2518;Susanna;Harz;14.06.2025
2519;Randolph;Kappes;23.06.1907
2520;Friedemar;Bautz;28.06.1940
2521;Noa;Borkowski;15.07.1915
2522;Clivia;Bögel;01.03.1921
2523;Alexandra;Körfer;11.06.1940
2524;Eunike;Timm;11.11.1969
2525;Otti;Dallmann;27.11.1952
2526;Ronja;Carius;20.05.1930
2527;Finchen;Helbing;16.03.1904
2528;Theophilus;Vögele;17.12.2019
2529;Riana;Schaf;03.08.1917
2530;Dietrich;Schnorr;17.11.1936
2531;Nepomuk;Knaak;23.04.1946
2532;Antje;Göhner;17.07.1936
2533;Catarina;Nitschke;06.06.1966
2534;Liborius;Jachmann;16.04.1948
2535;Wiltrud;Tillack;12.12.1930
2536;Hiltraut;Hutmacher;30.08.2023
2537;Sylvana;Feige;06.10.1957
2538;Robin;Pfund;04.05.1935
2539;Nelli;Wichmann;28.02.1993
2540;Alois;Stöger;26.04.1958
2541;Klarissa;Karbach;08.12.2021
2542;Marten;Wölk;20.07.1968
2543;Brita;Stade;25.05.2024
2544;Melvin;Aslan;23.12.2012
2545;Udo;Luck;03.04.2025
2546;Wiegbert;Heumann;12.12.2000
2547;Franziska;Rusch;12.04.1915
2548;Theresa;Herkommer;29.03.1989
2549;Jonas;Schwer;14.10.2000
2550;Myriam;Regel;12.12.1962
2551;Klaudius;Frischmuth;29.07.1921
2552;Gert;Bange;23.10.1917
2553;Klaas;Janka;30.05.1958
2554;Reinlinde;Wall;27.08.1974
2555;Xaver;Strebel;31.08.1902
2556;Kunigunda;Maschke;25.01.1916
2557;Gesine;Koster;08.12.1902
2558;Arved;Feigl;26.10.1979
2559;Kristine;Tietze;11.01.1970
2560;Uve;Appel;09.07.1963
2561;Celina;Stock;27.05.1959
2562;Hannes;Börner;08.07.1908
2563;Gundela;Wengler;06.04.1945
2564;Rosamarie;Krieger;06.10.2002
2565;Mats;Piontek;09.02.2022
2566;Gert;Krüger;18.12.1928
2567;Kirstin;Schorpp;15.01.1981
2568;Amadeus;Wolke;21.10.1939
2569;Eckert;Herden;25.03.1947
2570;Monja;Broll;23.09.1968
2571;Tore;Grotz;15.04.1935
2572;Birgit;Eisfeld;21.08.1969
2573;Trude;Erler;03.05.1957
2574;Stephanus;Elling;14.08.2013
2575;Friedhardt;Gabriel;16.01.1931
2576;Siegfrid;Dams;28.08.1905
2577;Eberhard;Seidlitz;28.07.1982
2578;Willi;Vogt;13.10.1997
2579;Elselore;Heiderich;07.10.1906
2580;Frohwald;Bremen;02.10.1961
2581;Conrad;Rach;07.04.1953
2582;Gerolf;Reiff;02.11.1980
2583;Chris;Dechant;14.06.1913
2584;Senta;Ruhe;01.02.2019
2585;Wilhardt;Schätzle;15.09.1913
2586;Liselore;Hörner;09.11.1967
2587;Dina;Janson;21.09.2018
2588;Eduard;Demski;27.01.1940
2589;Enrico;Wittkamp;10.01.1939
2590;Annetrud;Herget;29.08.2003
2591;Reinbert;Würtz;15.11.1949
2592;Bernhart;Scholten;05.06.1939
2593;Falko;Runge;26.10.1929
2594;Hanswerner;Beuter;25.02.1903
2595;Albin;Ertel;26.11.1918
2596;Monica;Schlottmann;28.04.2016
2597;Wiltraut;Schlechter;30.01.1987
2598;Juli;Fiedler;03.05.2022
2599;Haymo;Kühner;24.04.1990
2600;Wendelin;Bialas;17.11.1974
2601;Xaverius;Schiel;09.06.2011
2602;Volkard;Schwanke;25.03.1934
2603;Baptist;Munoz;19.09.1990
2604;Friederun;Pyka;05.02.1938
2605;Reinmar;Kegel;10.07.1953
2606;Malte;Felde;04.06.2007
2607;Jacob;Kelly;28.10.1938
2608;Hilarius;Gundel;03.01.1976
2609;Gundula;Bruchmann;16.03.1976
2610;Gottholde;Böhner;09.07.1937
2611;Traudlinde;Linke;20.07.1987
2612;Mark;Ruppert;06.09.1942
2613;Lidwina;Harmsen;06.05.2010
2614;Uschi;Neidhart;01.02.1995
2615;Norman;Leininger;15.07.2021
2616;Leandro;Bohlender;11.04.1917
2617;Roselius;Schlieper;27.08.1974
2618;Willmar;Casper;26.07.2018
2619;Felicitas;Karbe;05.08.1952
2620;Benedikt;Penning;17.05.1942
2621;Samantha;Hehl;30.10.1987
2622;Gerritdina;Ilg;03.01.1929
2623;Alrik;Dobler;18.02.1916
2624;Marielies;Willenborg;05.11.1921
2625;Friedeburg;Gutt;15.08.1908
2626;Ricardo;Senger;14.06.1934
2627;Sighelm;Schuler;04.11.1920
2628;Tom;Dambach;27.06.1909
2629;Gritta;Thomsen;10.01.1969
2630;Mania;Jordan;16.07.1979
2631;Ruthild;Back;22.06.2004
2632;Heinzhermann;Naundorf;30.08.1937
2633;Philine;Schönefeld;06.05.1925
2634;Marlies;Ahrens;16.10.2018
2635;Linhilde;Spiller;08.08.1972
2636;Mechthilde;Stefani;27.06.1954
2637;Emilie;Sütterlin;25.08.1911
2638;Sören;Schulten;18.09.1946
2639;Reny;Sorgenfrei;25.05.1904
2640;Kaya;Rieken;19.12.1915
2641;Remigius;Nuß;07.10.1995
2642;Emely;Danker;08.01.1982
2643;Fabiane;Zeppenfeld;01.11.1951
2644;Kevin;Teschner;09.10.1944
2645;Valeska;Taylor;17.06.1963
2646;Roseline;Wiens;11.11.1980
2647;Lieselene;Wiesmann;03.10.1929
2648;Erdwin;Küffner;25.01.1960
2649;Christhild;Staubach;24.02.2010
2650;Heidebert;Eisenhuth;11.10.2012
2651;Kornelius;Höller;23.05.1929
2652;Emmerich;Achilles;28.12.2003
2653;Bärbel;Gerster;14.08.1997
2654;Steffen;Böhner;07.02.1916
2655;Volkhart;Overbeck;17.12.1937
2656;Altfried;Volpert;19.02.1990
2657;Camilla;Maibaum;18.04.1903
2658;Friedhart;Gutowski;08.07.1988
2659;Holmer;Frieß;31.05.1928
2660;Lene;Sperl;13.01.1956
2661;Gislind;Otte;03.08.2015
2662;Arnulf;Weidinger;05.09.2023
2663;Oswald;Halbig;11.08.1993
2664;Lars;Dörfer;14.03.1907
2665;Runfried;Steinecke;15.04.1963
2666;Marietraud;Gramm;27.01.2011
2667;Gerfried;Munk;26.11.1992
2668;Tanja;Nothdurft;16.10.1985
2669;Frederik;Uzun;21.09.1998
2670;Lidwina;Obermaier;02.11.1969
2671;Heidfried;Greiser;14.11.1944
2672;Nic;Benn;15.09.1927
2673;Karsta;Osten;22.05.1957
2674;Martrud;Weinand;06.01.2017
2675;Wilhardt;Unverzagt;14.07.1931
2676;Heini;Hohlfeld;05.12.2010
2677;Luca;Mandler;25.02.2006
2678;Klothilde;Hustedt;10.04.1916
2679;Mirjam;Löber;05.06.1942
2680;Friedhard;Placke;16.01.1917
2681;Walbert;Pöhlmann;31.05.2004
2682;Finnja;Westhoff;24.07.1902
2683;Siegfrid;Neitzel;04.08.1978
2684;Urte;Buttgereit;13.04.1996
2685;Christiana;Hartwig;18.08.1954
2686;Marilen;Aulich;04.12.1974
2687;Grimbert;Teichert;04.04.1963
2688;Irmgardt;Lutz;02.06.1915
2689;Wendela;Förg;12.10.1989
2690;Sindy;Ludolph;23.02.1906
2691;Norbert;Waller;05.10.1956
2692;Siegert;Weidlich;04.02.2021
2693;Benedikt;Lewis;28.04.1976
2694;Lilian;Widera;01.10.2020
2695;Christward;Alt;04.08.1981
2696;Timon;Tölle;08.07.1922
2697;Erlwine;Hunter;27.10.1983
2698;Henrik;Weyand;03.02.1938
2699;Gebhard;Obert;11.12.1990
2700;Ben;Abbott;26.10.1933
2701;Utta;Diers;11.10.1977
2702;Emmeram;Marciniak;03.05.1972
2703;Erdmann;Kubisch;19.08.1907
2704;Fritz;Pusch;08.02.1931
2705;Heidfried;Guttmann;15.01.1963
2706;Hiltrude;Galle;09.06.2016
2707;Janne;Herbert;13.01.1952
2708;Dorothea;Stieber;09.07.1932
2709;Helene;Lindt;28.06.1998
2710;Celia;Möllenbeck;06.11.1954
2711;Herold;Wiencke;23.06.1991
2712;Hansjochen;Weigert;18.04.1943
2713;Winfriede;Hausmann;19.01.1933
2714;Helmgard;Iwan;27.06.1921
2715;David;Steinel;15.10.2001
2716;Vivien;Mucha;27.05.1999
2717;Neithard;Nüßlein;11.07.1996
2718;Artur;Wiegel;08.03.1986
2719;Heinzpeter;Thoß;08.08.1915
2720;Lenard;Roters;11.09.2000
2721;Hedy;Kröll;13.02.1944
2722;Nortrud;Jeschke;14.07.1913
2723;Helmgard;Hehl;21.02.1934
2724;Bernt;Riegler;28.12.1998
2725;Wunnibald;Struwe;03.07.1917
2726;Joachim;Wagener;13.04.1982
2727;Vincenz;Berling;18.03.2021
2728;Folkhard;Edwards;01.06.1986
2729;Alwine;Eiden;15.09.1911
2730;Ulrike;Seck;09.11.2013
2731;Ludwig;Cassens;28.05.2007
2732;Sibyl;Dopfer;27.09.2014
2733;Bertfriede;Endemann;31.10.2016
2734;Annette;Murray;29.03.1908
2735;Ferdi;Schomann;09.04.1960
2736;Thurid;Rubin;08.02.2009
2737;Hermine;Lausch;09.05.1972
2738;Joel;Petri;15.05.1921
2739;Nadin;Reddig;07.01.1934
2740;Stilla;Stracke;28.04.2016
2741;Loreliese;Sackmann;21.05.1914
2742;Gelbert;Reese;29.03.1985
2743;Heino;Steinbeck;04.10.1917
2744;Hansjakob;Scherer;11.04.1957
2745;Edeltraude;Oberst;21.09.2013
2746;Marietraud;Dehmel;05.02.1988
2747;Sieglind;Limpert;10.04.1998
2748;Hanswerner;Kösters;13.09.2009
2749;Giesela;Fährmann;08.07.1981
2750;Dorle;Kuper;20.10.1923
2751;Helgomar;Wriedt;22.09.1980
2752;Gitta;Friederich;21.07.2000
2753;Rudger;Heberle;01.10.2005
2754;Elia;Yavuz;24.08.1985
2755;Hannegret;Thierbach;20.06.1961
2756;Arabella;Oliveira;29.07.1980
2757;Alwine;Bittner;12.10.1947
2758;Margaretha;Ramos;30.05.1940
2759;Chiara;Paas;01.04.1960
2760;Tanja;Higgins;06.04.1950
